cyphertext
ABC D
ABE FGHIJK
AJALB
AMNOBJI FDBKPF
AMFF QKJ
RJKS (QT FJG)
RUOGAKJ
RMNSIJ ASCQBLJK
RSMVC LWL TSFOXB
SIMYJK OJIQJRF
SFMKMF
DBGKMNP GSDDMRU
FGS
DSKGJK KSLMRFSR (QT FJG)
KMSG GJR
FBLBM
KBH YSIDJ LWL NKBRPQBG
FJYJR IMSRF GM
GSRU
MRSR
FICFOMM
FSZM GCPPJK (QT FJG)
FCDJK ZCGCKJ
FYQQJR QJBGO
FHJRNJ
FHRHABGB
GJIHPBFG GKMYJNGB
YBIJRGMRS POBR
HJGJD
YBIJRGMRS POBR
YBADBHQU
VJPJ LJBGF
VMRUBKBGSXRFOMD
KJLJIIMSR
GKMYJNGB
ASQBDMG
ASPFM
ASKGJR
